navn,nummer,dagi_id
S Bjert/S Stenderup/Vejstrup,12,705308
Vonsild,13,707970
Vamdrup/Hjarup/Ødis,14,712326
Chr.Feld/Stepping/Taps/Hejls,15,712312
Brejning Syd,1,708612
Børkop Syd,2,711442
Gårslev Syd,3,700976
Smidstrup Syd,4,702298
Ødsted Syd,5,710116
Egtved Syd,6,710134
Jerlev Syd,7,711448
Øster Starup Syd,8,710122
DGI-Huset Syd,9,708618
Multihuset Højen Syd,10,710128
Vinding Idræts Center Syd,11,703992
Mølholmhallen Syd,12,705630
Kvartershuset Syd,13,700984
CSV - Vejle Syd,14,705620
Rødkilde Gymnasium Syd,15,703998
Skibet Hallen Nord,16,702280
Give Nord,17,711436
Thyregod Nord,18,700940
Gadbjerg Nord,19,706950
Givskud Nord,20,700946
Grønbjerg Nord,21,706962
Lindeballe Nord,22,702264
Øster Nykirke Nord,23,703974
Jelling Nord,24,708586
Kollerup-Sandvad Nord,25,703968
Grejs Nord,26,710054
Bredsten Nord,27,702272
Nørup Nord,28,708580
Vandel Nord,29,702258
Nørremarkshallen Nord,30,705588
Engum Nord,31,703960
Hældagerhallen Nord,32,706968
Grejsdalen Nord,33,705594
Multihallen v. Petersmindeskolen Nord,34,703980
Herning,1,712062
Arnborg,2,706292
Kibæk,5,703462
Kølkær,6,701670
Lind,7,712050
Sdr. Felding,8,701664
Skarrild,9,710918
Studsgård,11,704992
Aulum,13,709506
Feldborg,14,709514
Gullestrup,15,701676
Haderup,16,701720
Hammerum,17,703468
Hodsager,18,705004
Ilskov,19,705024
Simmelkær,20,701684
Sinding,21,701714
Skibbild/Nøvling,22,703474
Snejbjerg,23,707802
Sunds,24,712068
Timring,25,710958
Tjørring,26,709528
Vildbjerg,27,712074
Vind,28,709520
Vinding,29,701690
Ørnhøj,30,705030
Musikteatret,1,709372
Mejdal,2,703344
Skave,3,707720
Mejrup,4,703338
Nørreboulevardskolen,5,711920
Vinderup,6,701564
Sevel,7,706148
Ulfborg,8,706142
Vemb,9,703316
Sdr. Nissum,10,709344
Lemvig,1,706536
Nørre Nissum,2,711166
Klinkby,3,711178
Ramme,4,711172
Bøvling,5,712242
Flynder,6,711198
Thyborøn,7,706550
Harboøre,8,701882
Struer,1,711302
Gimsing,2,702100
Hjerm,3,703842
Humlum,4,700832
Bremdal,5,706786
Langhøj,6,708418
Hvidbjerg,7,709888
Ebeltoft,1,701596
Mols,2,703350
Tirstrup,3,703380
Kolind,4,711940
Ryomgård,5,711952
Hornslet,6,701618
Mørke,7,710826
Rønde,8,711958
Kulturhuset Pavillonen,1,709078
Anholt Skole,2,711832
Kulturhuset Stationen,3,709066
Grenaa Idrætscenter,4,707484
Glesborg,5,709072
Ørum,6,707518
Ørsted,7,704660
Allingåbro,8,710680
Auning,9,709084
Vivild,10,701476
Hadsten Nord,1,712100
Hadsten Syd,2,711042
Hadbjerg,3,709610
Hammel Nord,4,706354
Hammel Syd,5,706342
Haldum-Hinnerup/Vitten,6,709596
Rønbæk/Grundfør,7,705102
Foldby,8,704336
Ulstrup,9,707834
Thorsø/Haurum/Sall,10,707278
Laurbjerg/Houlbjerg,11,711048
Søften,12,711674
Voldum,13,706360
Lading,14,707272
Odder,1,709406
Torrild,2,701640
Saksild - Nølev,3,701632
Randlev - Bjerager,4,709400
"Hou, Gosmer - Halling",5,703392
Gylling,6,704968
Ørting-Falling,7,706210
Hundslund,8,704986
Alrø,9,711964
Tunø,10,710838
Kulturhuset Langå,1,704314
Stevnstrup Forsamlingshus,2,702764
Jebjerg Forsamlingshus,4,701178
Havndalhallen,5,704136
Råby Forsamlingshus,6,704222
Øster Tørslev Fritidslokaler,7,705768
Korshøjskolen,8,710316
Hald Forsamlingshus,9,702710
Gjerlev Aktivitetshus,10,701136
Rismølleskolen,11,707150
Randers Specialskole (Firkløverskolen),12,704268
Hornbækhallen,13,707188
Blicherskolen,14,710340
Kultur-Aktivitetshuset Gassum,15,705778
Asferg Træningshus,16,708750
Purhushallen,17,708738
Ø. Bjerregrav Forsamlingshus,21,702776
Psykiatriens Hus,24,707212
Hobrovejens Skole,25,702770
Randers Badmintonhaller,26,707182
Nørrevangsskolen,27,710322
Fritidscentret,28,711624
Vestervangsskolen,29,711576
Østervangsskolen,30,711582
Søndermarkskolen,31,708744
Tirsdalens Skole,32,711638
Paderup Gymnasium,33,704280
Romalt Aktivitetshal,34,702716
Assentofthallen,36,710392
Uggelhuse Forsamlingshus,37,707204
Ans,1,708400
Funder,2,700814
Fårvang,3,705416
Gjern,4,709876
Grauballe,5,711288
Gødvad,6,711296
Kjellerup,7,711260
Kragelund,8,711222
Lemming,9,711254
Linå,10,711272
Resenbro,11,700766
Sejling,12,706706
Sejs,13,705410
Sjørslev,14,709870
Sorring,15,702058
Thorning,16,703820
Vinderslev,17,708382
Voel,18,705446
Balle,21,709850
Bryrup,22,700802
Buskelund,23,706686
Gjessø,24,706692
Hjøllund,25,702052
Langsøskolen,26,709856
Lysbro,27,702040
Alderslyst,28,702046
Jysk Arena,29,706680
Them,30,700790
Vestergadehallen,31,711242
Virklund,32,700796
Tranebjerg,1,709154
Nordby,2,704790
Ejer Bavnehøj,1,700784
Galten,2,702022
Gl. Rye,3,702034
Hørning,4,709844
Låsby,5,702028
Morten Børup,6,700778
Niels Ebbesen,7,711236
Ry,8,703790
Skovby,9,708370
Stilling,10,703796
Stjær,11,706674
Virring,12,709838
Frederiksbjerg Hallerne,1,702188
Lokalcenter Fr.Bjerg/Langenæs,2,706884
"Rundhøjhallen, Holme",3,706890
"Kragelundskolen, Højbjerg",4,703936
Tranbjerg Skole,6,702228
"Rosenvangskolen, Viby J",7,700922
Viby Hallen,8,700928
Beder Skole,9,709990
DOKK1,10,708544
Malling Skole,11,711386
Mårslet Skole,12,703942
Solbjergskolen,13,709996
"Generationernes Hus, Aarhus Ø",14,748351
Ormslev Præstegård,16,705582
Hasselager Hallen,18,703954
"Højvangskolen, Stavtrup",19,702240
"Folkestedet, Carl Blochs Gade",20,748350
Rådhushallen,21,708568
"Gammelgårdskolen, Åbyhøj",22,700890
Hasle Skole,23,706860
"Brabrandhallen, Brabrand",24,706938
Globus 1,25,710046
Skjoldhøjskolen,26,710040
VIA University College,27,723742
"TST Aktiv-Center, Tilst",28,703948
Næshøjhallen,30,711422
Borum Forsamlingshus,31,705576
"Sabro-Korsvejskolen, Sabro",33,710034
Samsøgades Skole,41,711398
Skovvangskolen,42,708530
Møllevangskolen,43,706866
Lisbjergskolen,44,705526
Bellevue-Hallen,45,709972
Lystrup Hallen,47,705532
"Virupskolen, Hjortshøj",48,711374
"Sølystskolen, Egå",49,702208
Skæring Skole,50,708574
Skødstrup Hallen,51,705544
"Bjørnshøjcentret, Trige",53,705514
Spørring Fælleshus,55,705520
Håruphallen,56,711356
Vejlby-Risskov Hallen,61,711368
"Søndervangskolen, Viby J",62,711416
Center-10,63,709952
Åby Hallen,64,710028
"Ellevangskolen, Risskov",65,711392
